location,date,alpine_hazard,treeline_hazard,below_treeline_hazard,confidence,highlights,confidence_statement
North Rockies,2021-03-20T23:00:00Z,considerable,moderate,low,moderate,"<p>Strong wind is forecast on Sunday, which may form new wind slabs that could be touchy to riders during formation and into Monday. The problem will be most likely where 15+ cm of soft snow is found, so assess for new snow, strong wind, and slab characteristics during your travels.</p>",Uncertainty is due to the limited number of field observations.
Sea to Sky,2021-03-21T23:00:00Z,moderate,moderate,low,moderate,"<p>6:30AM Update: New snow will need some time to stabilize on Monday, don&#39;t let it lure you into consequential avalanche terrain.</p>",Uncertainty is due to how quickly the snowpack will recover and gain strength.
Chic-Chocs,2021-03-21T21:30:00Z,moderate,moderate,moderate,high,<p>Start your day early if your goals are to ski sunny slopes.</p>,"The number, quality, or consistency of field observations is good, and supports our confidence."
Kananaskis Country,2021-03-21T22:00:00Z,moderate,moderate,low,moderate,<p>10cm of snow forecast for Monday afternoon should refresh the skiing.  Be on the lookout for new wind slabs. </p>,N/A
location,date,alpine_hazard,treeline_hazard,below_treeline_hazard,confidence,highlights,confidence_statement
Chic-Chocs,2021-03-22T22:00:00Z,moderate,considerable,considerable,moderate,<p>The lack of refreezing at night may increase the size of avalanches triggered by skiers.</p>,Uncertainty is due to how the snowpack will react to the forecast weather.
Kananaskis Country,2021-03-22T22:00:00Z,moderate,moderate,low,moderate,<p>Up to 10cm of snow expected by Tuesday morning along with cooler weather.   </p>,Uncertainty is due to the track & intensity of the incoming weather system.
South Rockies,2021-03-22T23:00:00Z,low,low,low,high,<p>7 AM Update: You may find 10 to 20 cm of new snow in your riding area. Assess for slab properties in steep terrain.</p>,N/A
Lizard-Flathead,2021-03-22T23:00:00Z,moderate,low,low,moderate,"<p>Watch for new wind slabs perched in steep, leeward terrain features in wind exposed areas at upper elevations. Mellower sheltered slopes likely offer the best skiing and riding quality.</p>",N/A
Kootenay-Boundary,2021-03-22T23:00:00Z,moderate,low,low,high,"<p>Good riding can be found on north-facing slopes, but watch for wind slabs in steep open terrain.</p>",N/A
Cariboos,2021-03-22T23:00:00Z,considerable,moderate,low,low,"<p>Look for cold, dry powder on north facing slopes. Be mindful of reactive slabs around ridges and steep, convex terrain.</p>","Uncertainty is due to the speed, direction, or duration of the wind and its effect on the snowpack."
South Coast,2021-03-22T23:00:00Z,considerable,moderate,low,moderate,"<p>Carefully evaluate steep slopes where recent snow could still produce avalanches, especially in wind affected terrain.</p>",Uncertainty is due to how quickly the snowpack will recover and gain strength.
Yukon,2021-03-22T23:00:00Z,moderate,moderate,norating,moderate,"<p>The wind is forecast to pick up on Tuesday, which could form new wind slabs. Assess for slab formation in your riding area and seek sheltered terrain for the softest conditions.</p>",Uncertainty is due to the limited number of field observations.
Northwest Inland,2021-03-22T23:00:00Z,moderate,moderate,low,moderate,"<p>New snow and strong winds over the day Tuesday will likely form fresh, reactive wind slabs at upper elevations. In areas where less than 10 cm of new snow falls, avalanche hazard may be a step lower in the alpine.</p>",Forecast precipitation (either snow or rain) amounts are uncertain.
Northwest Coastal,2021-03-22T23:00:00Z,considerable,considerable,moderate,moderate,"<p>Watch for fresh storm slabs building throughout the day Tuesday. You may find they get deeper and touchier with elevation. With that in mind, stick to low angle, wind sheltered terrain free from overhead hazard. </p><p></p><p>Where less than 20 cm falls, alpine danger may be a step lower.</p>",Forecast precipitation (either snow or rain) amounts are uncertain.
North Columbia,2021-03-22T23:00:00Z,considerable,moderate,low,moderate,"<p>Look for cold, dry powder on north facing slopes. Be mindful of reactive slabs around ridges and steep, convex terrain.</p>","Uncertainty is due to the speed, direction, or duration of the wind and its effect on the snowpack."
Purcells,2021-03-22T23:00:00Z,moderate,low,low,moderate,<p>Assess you line for wind slabs before committing to steep terrain. Convex slopes below ridge tops are the most likely places to trigger slabs. </p>,"Uncertainty is due to the speed, direction, or duration of the wind and its effect on the snowpack."
South Columbia,2021-03-22T23:00:00Z,considerable,moderate,low,moderate,"<p>Look for cold, dry powder on north facing slopes. Be mindful of reactive slabs around ridges and steep, convex terrain.</p>","Uncertainty is due to the speed, direction, or duration of the wind and its effect on the snowpack."
South Coast Inland,2021-03-22T23:00:00Z,moderate,low,low,moderate,"<p>Good riding can be found on north-facing slopes, but watch for wind slabs in steep open terrain.</p>","Uncertainty is due to the speed, direction, or duration of the wind and its effect on the snowpack."
North Rockies,2021-03-22T23:00:00Z,high,considerable,moderate,moderate,<p>Recently formed slabs may remain triggerable by riders on Tuesday. New slabs will likely rapidly form during Wednesday&#39;s storm.</p>,Uncertainty is due to the limited number of field observations.
Sea to Sky,2021-03-22T23:00:00Z,moderate,moderate,low,moderate,<p>Watch for wind slabs in steep open terrain.</p>,"Uncertainty is due to the speed, direction, or duration of the wind and its effect on the snowpack."
location,date,alpine_hazard,treeline_hazard,below_treeline_hazard,confidence,highlights,confidence_statement
Kananaskis Country,2021-03-23T22:00:00Z,moderate,moderate,low,moderate,<p>Watch the winds increasing on Thursday out of the west building new windslabs in alpine areas.  Lots of snow is available transport at the upper elevations. </p>,"Uncertainty is due to the timing, track, & intensity of the incoming weather system."
South Rockies,2021-03-23T23:00:00Z,moderate,low,low,moderate,"<p>Strong wind forecast overnight will likely transport recent snow into fresh, reactive wind slabs at upper elevations. Watch for signs of instability like shooting cracks in wind loaded lee features such as beneath ridge crests and roll-overs.</p>","Uncertainty is due to the speed, direction, or duration of the wind and its effect on the snowpack."
Lizard-Flathead,2021-03-23T23:00:00Z,moderate,low,low,moderate,"<p>Strong wind forecast overnight will likely transport recent snow into fresh, reactive wind slabs at upper elevations. Watch for signs of instability like shooting cracks in wind loaded lee features such as beneath ridge crests and roll-overs.</p>","Uncertainty is due to the speed, direction, or duration of the wind and its effect on the snowpack."
Kootenay-Boundary,2021-03-23T23:00:00Z,moderate,low,low,high,<p>Wind slabs at upper elevations are the main concern with the best quality snow up high on north aspects. </p>,The snowpack structure is generally well understood.
Cariboos,2021-03-23T23:00:00Z,moderate,moderate,low,low,<p>Watch for fresh slabs Wednesday from overnight winds and flurries. Seek out sheltered terrain - the most reactive deposits will be in exposed terrain around ridges and unsupported slopes. In alpine terrain where less than 15 cm snow accumulates hazard may be Moderate.</p>,Uncertainty is due to the limited number of field observations.
South Coast,2021-03-23T23:00:00Z,moderate,moderate,low,moderate,<p>Additional new snow and wind Tuesday night through Wednesday morning will promote storm and wind slab formation at upper elevations.</p>,Forecast snowfall amounts are uncertain.
Yukon,2021-03-22T23:00:00Z,moderate,moderate,norating,moderate,"<p>The wind is forecast to pick up on Tuesday, which could form new wind slabs. Assess for slab formation in your riding area and seek sheltered terrain for the softest conditions.</p>",Uncertainty is due to the limited number of field observations.
Northwest Inland,2021-03-23T23:00:00Z,moderate,moderate,low,moderate,"<p>Overnight snow and wind have likely formed wind slabs in lee terrain features at upper elevations. The best riding can be found in mid elevation, wind-sheltered areas where the new snow is dry but hasn&#39;t seen the wind.</p>",Forecast precipitation (either snow or rain) amounts are uncertain.
Northwest Coastal,2021-03-23T23:00:00Z,considerable,moderate,low,moderate,"<p>Heavy snowfall and wind have formed storm slabs, which have likely avalanched naturally in many areas overnight. They will most likely remain reactive on Wednesday, especially in wind loaded areas. Stick to conservative terrain while the new snow settles and stabilizes.</p>",Uncertainty is due to how quickly the snowpack will recover and gain strength.
North Columbia,2021-03-23T23:00:00Z,moderate,moderate,low,moderate,<p>Watch for fresh slabs Wednesday from overnight winds and flurries. Seek out sheltered terrain - the most reactive deposits will be in exposed terrain around ridges and unsupported slopes. In alpine terrain where less than 15 cm snow accumulates hazard may be Moderate.</p>,"Uncertainty is due to the timing, track, & intensity of the incoming weather system."
Purcells,2021-03-23T23:00:00Z,moderate,low,low,moderate,<p>Look for cold dry snow on north facing terrain at upper elevations. Be wary as this may also be where wind slabs develop.</p>,"Uncertainty is due to the speed, direction, or duration of the wind and its effect on the snowpack."
South Columbia,2021-03-23T23:00:00Z,moderate,moderate,low,moderate,<p>Look for cold dry snow on north facing terrain at upper elevations. Be wary as this may also be where wind slabs develop.</p>,"Uncertainty is due to the speed, direction, or duration of the wind and its effect on the snowpack."
South Coast Inland,2021-03-23T23:00:00Z,moderate,low,low,moderate,<p>New snow and wind forecast for Tuesday night through Wednesday morning (higher amounts in the south of the region) will form fresh wind slabs at upper elevations. </p>,Forecast snowfall amounts are uncertain.
